volMax pesoMax custo
391 395 13796
325 316 13378
255 275 13025
343 277 15226
344 306 14015
365 259 16982
288 346 13476
382 304 14967
256 289 14860
265 274 14952
287 342 15977
393 377 16543
366 375 15556
259 354 13356
365 301 13406
394 379 13241
281 287 14581
262 384 15363
397 321 13931
268 346 14777
296 271 13742
394 351 15473
336 345 14342
292 316 16581
398 378 15048
368 308 16575
355 322 13718
285 258 13044
292 289 14548
335 265 15168
277 399 14862
259 310 16154
278 386 16833
308 371 13865
310 387 14105
258 289 14932
370 366 13618
253 386 13481
385 254 14819
395 315 16790
328 398 13956
309 377 15136
388 268 14521
262 389 15106
335 383 16287
378 272 15057
335 381 15531
376 262 16090
287 304 15787
360 331 15444
